snapshot,switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
1,s21,2,543,56462,0,0,433,52514,0,0
1,s21,3,3444,104895437,0,0,4354,211821446,0,0
1,s20,5,15,1118,0,0,450,43056,0,0
1,s20,1,4221,209360074,4,0,571,59464,0,0
1,s20,4,15,1118,0,0,452,43334,0,0
1,s20,6,15,1118,0,0,450,43056,0,0
1,s20,7,15,1118,0,0,448,42778,0,0
1,s20,2,557,58624,4,0,4207,209358826,0,0
1,s20,3,15,1118,0,0,452,43334,0,0
1,s19,8,188,5264,0,0,13,1006,0,0
1,s19,9,16,1160,0,0,450,43444,0,0
1,s19,5,16,1160,0,0,454,44000,0,0
1,s19,1,1948,176923,4,0,2563,105945155,0,0
1,s19,4,16,1160,0,0,456,44278,0,0
1,s19,6,16,1160,0,0,454,44000,0,0
1,s19,7,16,1160,0,0,452,43722,0,0
1,s19,2,6411,317713409,0,0,3069,268825,0,0
1,s19,3,1645,147442,0,0,4197,211816444,0,0
1,s24,13,15,1118,0,0,422,39968,0,0
1,s24,11,15,1118,0,0,424,40248,0,0
1,s24,10,16,1160,0,0,426,40528,0,0
1,s24,8,186,5208,0,0,13,1006,0,0
1,s24,9,15,1118,0,0,428,40580,0,0
1,s24,5,502,53996,0,0,386,49120,0,0
1,s24,12,15,1118,0,0,424,40248,0,0
1,s24,14,15,1118,0,0,422,39968,0,0
1,s24,1,562,58648,4,0,562,58426,0,0
1,s24,4,402,50240,0,0,514,54688,0,0
1,s24,6,353,47798,0,0,1551,140598,0,0
1,s24,7,15,1118,0,0,430,40858,0,0
1,s24,2,983,93778,0,0,539,55398,0,0
1,s24,3,1091,101098,0,0,543,56034,0,0
1,s25,10,519,43561,0,0,2490,106029081,0,0
1,s25,8,185,5180,0,0,13,1006,0,0
1,s25,9,596,48545,0,0,2487,105933675,0,0
1,s25,5,367,48902,4,0,534,55692,0,0
1,s25,1,557,58054,4,0,560,58180,0,0
1,s25,4,542,56220,4,0,542,56248,0,0
1,s25,6,507,53678,0,0,381,48544,0,0
1,s25,7,2616,105950129,0,0,3142,105992872,0,0
1,s25,2,552,57116,4,0,552,57246,0,0
1,s25,3,4461,211927988,4,0,1029,98169,0,0
1,s26,4,185,5180,0,0,13,1006,0,0
1,s26,1,1041,99071,4,0,559,58110,0,0
1,s26,2,371,49806,8,0,543,57058,0,0
1,s26,3,528,54556,0,0,2394,105938674,0,0
