snapshot,switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
3,s17,1,1219,135856,0,0,1220,135898,0,0
3,s17,4,8988,389705806,4,0,2235,222018,0,0
3,s17,6,1181,134570,4,0,1981,211287,0,0
3,s17,7,588,48000,0,0,3144,93577283,0,0
3,s17,2,1218,136700,0,0,1220,136784,0,0
3,s17,3,7194,282578560,0,0,2862,272323,0,0
3,s18,10,483,41000,0,0,2997,93501720,0,0
3,s18,8,320,8992,0,0,14,1076,0,0
3,s18,9,704,55622,0,0,3189,93130083,0,0
3,s18,5,541,44891,0,0,3082,95809685,0,0
3,s18,1,7329,305471366,4,0,1084,131694,0,0
3,s18,4,934,124004,4,0,1170,133948,0,0
3,s18,6,516,43235,0,0,2956,96374235,0,0
3,s18,7,577,47242,0,0,3151,97163072,0,0
3,s18,2,31408,1495608275,4,0,8207,106445120,0,0
3,s18,3,9695,299545012,0,0,31185,1421317975,0,0
3,s19,8,321,8988,0,0,14,1076,0,0
3,s19,9,18,1300,0,0,1125,124230,0,0
3,s19,5,575,47098,0,0,3134,102153950,0,0
3,s19,1,16068,188419983,4,0,45350,2146731914,0,0
3,s19,4,528,43975,0,0,3062,94678408,0,0
3,s19,6,416,36606,0,0,3016,96485084,0,0
3,s19,7,563,46285,0,0,3122,92942496,0,0
3,s19,2,60467,2980913757,0,0,20214,1717174,0,0
3,s19,3,12327,193720525,0,0,15796,732429938,0,0
3,s23,4,317,8876,0,0,14,1076,0,0
3,s23,1,73201,3479978390,4,0,19250,1636329,0,0
3,s23,5,9358,809517,4,0,3017,106019086,0,0
3,s23,2,8807,765260,4,0,25062,1239061583,0,0
3,s23,3,13426,630943838,4,0,28331,1005956495,0,0
3,s22,5,17,1258,0,0,1107,122116,0,0
3,s22,1,1219,136934,4,0,1220,136976,0,0
3,s22,4,18,1300,0,0,1107,122116,0,0
3,s22,6,17,1258,0,0,1105,121838,0,0
3,s22,7,17,1258,0,0,1103,121560,0,0
3,s22,2,1228,136960,0,0,1213,136106,0,0
3,s22,3,1209,135938,0,0,909,123562,0,0
3,s21,8,318,8904,0,0,14,1076,0,0
3,s21,9,17,1258,0,0,1110,122436,0,0
3,s21,5,18,1300,0,0,1114,122992,0,0
3,s21,1,17479,823933538,4,0,25322,809449429,0,0
3,s21,4,18,1300,0,0,1116,123270,0,0
3,s21,6,17,1230,0,0,1114,122992,0,0
3,s21,7,18,1300,0,0,1112,122714,0,0
3,s21,2,2235,222018,0,0,8988,389705806,0,0
3,s21,3,28331,1005956495,0,0,13426,630943838,0,0
3,s20,5,17,1258,0,0,1125,123842,0,0
3,s20,1,14999,720810103,4,0,1246,139170,0,0
3,s20,4,17,1258,0,0,1127,124120,0,0
3,s20,6,17,1258,0,0,1125,123842,0,0
3,s20,7,17,1258,0,0,1123,123564,0,0
3,s20,2,1231,138260,4,0,14985,720808855,0,0
3,s20,3,17,1258,0,0,1127,124120,0,0
3,s24,13,16,1188,0,0,1099,121574,0,0
3,s24,11,17,1258,0,0,1101,121854,0,0
3,s24,10,18,1300,0,0,1103,122134,0,0
3,s24,8,319,8932,0,0,14,1076,0,0
3,s24,9,17,1258,0,0,1105,121644,0,0
3,s24,5,1172,134224,0,0,936,124280,0,0
3,s24,12,17,1258,0,0,1100,121784,0,0
3,s24,14,17,1258,0,0,1099,121574,0,0
3,s24,1,1239,138628,4,0,1239,138406,0,0
3,s24,4,1983,211563,0,0,1183,134846,0,0
3,s24,6,3019,106019362,0,0,9360,809793,0,0
3,s24,7,16,1188,0,0,1107,121922,0,0
3,s24,2,6042,535508,0,0,1215,135308,0,0
3,s24,3,3486,322310,0,0,3342,106033184,0,0
3,s25,10,1501,126596,0,0,7071,317890296,0,0
3,s25,8,318,8904,0,0,14,1076,0,0
3,s25,9,1711,140438,0,0,7029,317793763,0,0
3,s25,5,911,123838,4,0,1211,136214,0,0
3,s25,1,2735,264152,4,0,7059,299126723,0,0
3,s25,4,2864,272599,4,0,7196,282578836,0,0
3,s25,6,1162,132734,0,0,947,123862,0,0
3,s25,7,28977,1408434885,0,0,14628,309115689,0,0
3,s25,2,1228,137026,4,0,1229,137226,0,0
3,s25,3,12996,520545189,4,0,10203,403529890,0,0
3,s26,4,318,8904,0,0,14,1076,0,0
3,s26,1,3349,313718,4,0,1236,138090,0,0
3,s26,2,920,124952,8,0,1214,137300,0,0
3,s26,3,1199,134256,0,0,4708,211883195,0,0
4,s6,13,2164,179167,0,0,9540,420823596,0,0
4,s6,11,2171,179597,0,0,10009,423755893,0,0
4,s6,10,596,48563,0,0,3931,101577951,0,0
4,s6,8,474,13272,0,0,14,1076,0,0
4,s6,9,7060,317816755,4,0,1635,179548,0,0
4,s6,5,1669,181538,4,0,4244,396859,0,0
4,s6,12,2177,180033,0,0,9616,423734263,0,0
4,s6,14,1954,165278,0,0,8944,423684281,0,0
4,s6,1,23909,1132627511,4,0,7459,309147439,0,0
4,s6,4,7015,309128227,4,0,1670,181736,0,0
4,s6,6,23173,1042358472,4,0,13491,394606964,0,0
4,s6,7,1652,180452,4,0,7607,673375,0,0
4,s6,2,1216,164040,0,0,1658,182604,0,0
4,s6,3,2570,265938,0,0,7678,305513004,0,0
4,s7,4,474,13272,0,0,14,1076,0,0
4,s7,1,1670,181736,0,0,7015,309128227,0,0
4,s7,5,1660,181386,4,0,1658,181274,0,0
4,s7,2,4231,397340,0,0,1670,182918,0,0
4,s7,3,7490,309149391,0,0,4233,397456,0,0
4,s2,6,129110,6381035358,0,0,35987,3009701,0,0
