snapshot_idx,ts_epoch,cpu_pct,ram_used_bytes,disk_read_bytes,disk_write_bytes
2,1767643876.595722,2.298,7110766592,0,423755776
2,1767643881.6022096,2.462,7110479872,0,465584128
2,1767643886.6087275,2.655,7110410240,0,428990464
2,1767643891.6152685,2.502,7110410240,0,453984256
2,1767643896.6196733,2.203,7110864896,0,430825472
2,1767643901.62594,2.401,7110860800,0,462512128
2,1767643906.6322742,2.258,7110860800,0,401784832
2,1767643911.6387503,2.566,7111090176,0,434208768
2,1767643916.643601,2.278,7022178304,0,383565824
2,1767643921.6476054,2.488,7022174208,0,479199232
2,1767643926.6516979,1.923,7022174208,0,478224384
2,1767643931.6579485,2.364,7022174208,0,440492032
2,1767643936.6642456,2.135,6980558848,0,303104
2,1767643941.6685553,2.144,6957944832,0,442368
2,1767643946.6714163,5.051,6971609088,0,999424
2,1767643951.6756399,11.557,7039668224,0,204800
2,1767643956.6794865,3.877,6935093248,0,688128
2,1767643961.683554,4.171,6936481792,0,90112
2,1767643966.6877077,3.831,6938271744,0,221184
2,1767643971.691485,4.112,6938546176,0,139264
2,1767643976.695141,3.993,6943993856,0,180224
2,1767643981.701402,2.019,6944251904,0,65536
2,1767643986.7081635,2.177,6943985664,0,147456
2,1767643991.7116709,2.040,6944215040,0,16384
2,1767643996.7156632,2.217,6944215040,0,32768
2,1767644001.7190003,2.059,6944215040,0,90112
2,1767644006.7236302,2.295,6943940608,0,131072
2,1767644011.7299573,2.277,6943940608,0,106496
2,1767644016.7364154,2.237,6943940608,0,147456
2,1767644021.7397947,2.100,6943940608,0,40960
2,1767644026.7460158,1.799,6943936512,0,114688
2,1767644031.7516022,1.918,6943936512,0,81920
2,1767644036.7565367,2.096,6944165888,0,122880
2,1767644041.7595987,2.040,6944051200,0,114688
2,1767644046.7636592,2.237,6944280576,0,155648
2,1767644051.7676158,2.337,6928166912,0,32768
2,1767644056.7716045,1.900,6927560704,0,131072
2,1767644061.775687,2.161,6927347712,0,57344
2,1767644066.7806315,2.119,6927802368,0,114688
2,1767644071.7870073,1.842,6928031744,0,303104
2,1767644076.793487,2.200,6877605888,0,65536
2,1767644081.799786,2.257,6801055744,0,90112
2,1767644086.8061728,2.043,6788739072,0,114688
2,1767644091.8125834,2.239,6788198400,0,40960
2,1767644096.8178842,3.286,6705442816,0,122880
2,1767644101.823602,3.503,6542200832,0,114688
2,1767644106.8298275,2.669,6487412736,0,212992
3,1767644245.206666,98.437,9864945664,0,230154240
3,1767644251.1836023,98.454,9864261632,0,584278016
3,1767644258.6036792,63.057,7115530240,16384,471498752
